"","Group.1","x"
"1","10002",13051.2220252822
"2","10003",37521.3955649355
"3","10005",1761.24455072463
"4","10006",577.827166165883
"5","10007",2460.49072727273
"6","10009",33748.2262860595
"7","1001",6366.78819014762
"8","10011",31800.407227618
"9","10012",66854.7471609169
"10","10013",28664.5137989257
"11","10014",4378.51822539454
"12","10015",21617.8312651949
"13","10016",6633.77201364649
"14","10018",65068.7480481609
"15","10019",28451.7548653535
"16","1002",10353.1040772054
"17","10021",1469.34997474747
"18","10022",9979.15940227602
"19","10023",11954.6607680467
"20","10024",3171.5564122807
"21","10025",28595.9374337879
"22","10026",2346.74560554985
"23","10027",59327.8679095055
"24","10028",293.40523076923
"25","10029",17703.7058080878
"26","1003",2858.01599269289
"27","10030",23131.3896375119
"28","10031",382.73
"29","10032",387.24
"30","10033",2136.69550737422
"31","10034",21094.1134003879
"32","10035",1755.53681710795
"33","10036",79130.8131729433
"34","10037",97794.7398864933
"35","10038",10621.5576122684
"36","10039",29726.2217569952
"37","1004",5528.49793373301
"38","10040",100368.803265961
"39","10043",25418.0864939299
"40","10045",29597.8457414052
"41","10046",36772.5303212456
"42","10047",956.457999999999
"43","10048",25482.7026986464
"44","10049",16611.0548831471
"45","10050",241619.626618228
"46","10051",6887.14287705445
"47","10054",49147.0832488686
"48","10055",9380.24475728712
"49","10056",62745.1907528709
"50","10058",2933.17689402867
"51","10059",1648.11067919025
"52","10061",32393.0721310559
"53","10062",21167.271373469
"54","10063",53376.3295083812
"55","10064",8090.14308052523
"56","10069",1649.2
"57","1007",1906.70252068208
"58","10070",2346.95597646144
"59","10071",6780.19350240548
"60","10072",6655.80506011248
"61","10073",58411.3988864171
"62","10074",328486.105782799
"63","10075",19173.4746817667
"64","10076",126.24
"65","10077",54269.0889942961
"66","10078",40009.3843232676
"67","10079",7371.12330081863
"68","1008",1950.03250065817
"69","10080",8212.02495404072
"70","10083",133420.889137026
"71","10084",15878.5664509035
"72","10085",25331.1115835328
"73","10086",294186.149468602
"74","10087",13299.6478467308
"75","10089",6916.02620863533
"76","10090",8639.12942272769
"77","10091",34625.3489230873
"78","10092",53265.1444675402
"79","10093",79254.7305180853
"80","10096",4506.69431124733
"81","10097",31741.4280501903
"82","10098",34865.0863213031
"83","10099",17944.4888866054
